timestamp,alpha0,beta0,gamma0,delta0,theta0,alpha1,beta1,gamma1,delta1,theta1,alpha2,beta2,gamma2,delta2,theta2,alpha3,beta3,gamma3,delta3,theta3,concentration
1542211286,4.818345754596403,1.7036092116490138,1.2026629834621338,3.9372613910021768,4.848760276636247,1.076547038011876,1.0752983768676239,0.38242501463707707,1.7513902343651582,2.7761878625925944,3.440734987252877,1.8991140773770627,1.9165002937698654,5.457796575529912,5.889881158614147,4.4145923554639985,2.572562827260361,5.233928162694752,10.657359537856124,11.57213656087922,1
1542211287,3.4637093874472114,2.6065652862596314,1.5609636855797966,7.983391939882597,4.376705970342818,4.688768657942547,0.8775684028749896,0.7242602673744056,4.753200873967664,4.580319120306822,5.621671400069282,2.0126209454335164,2.4842066723590768,5.328213583385342,5.168844136958047,4.297537133104589,3.207453621585884,6.494571843643163,9.676190838326637,6.316829354050015,1
1542211287,7.423094029426341,3.3334684683761906,1.8722855945430574,32.782171747643346,24.38798703977092,1.5052425906903848,1.1823124628989206,0.5197928624091269,4.515967016098552,6.5415401197481176,1.7459677930619613,1.8323658277632455,1.7807632792797672,3.854170176939316,5.7092113919755585,8.232278517401818,3.972447066340722,6.314991300672845,30.958473237205318,20.716475212027625,1
1542211288,6.535156575160478,3.2038068325026874,1.7325791968688045,14.77193648267513,14.274204114965645,1.1898969027813862,1.2918380182869738,0.5587188426289427,3.6516429448262375,4.173528663535395,4.07057162061017,2.3490312025412425,2.4374103116816253,6.850402692937317,8.624827284924304,6.089308040185128,2.9597294864288113,6.23990066410665,10.0421498620313,8.768015453095948,1
1542211288,3.1911934426383297,2.0025204219019628,1.4123556332478697,4.506302959623046,5.898238578003616,1.1208666301317778,1.1001815651564901,0.5850734622219218,1.8042757765415125,2.6916001796995817,1.3791768906918669,1.7996713771795885,1.877060983842032,2.857809446660867,4.028342580748998,6.294961879513856,3.023118239504958,6.141638516117326,7.375329532270872,5.6516468024640085,1
1542211289,6.280675223741561,2.038238216128893,1.4550794852144942,3.569399956799136,3.0837268622793985,1.612239080392816,1.075136814592886,0.5465591300690256,2.9797259290793723,3.7754608319967504,6.5973983615152605,1.8099093167742717,2.1819221835581364,4.831788230399724,3.1801537956540304,3.270715078892239,2.4163753984758896,5.649056469765934,10.842551170340801,8.833481017700887,1
1542211289,4.037639076300561,1.9809322467109536,1.3097256855379864,10.98390422727897,7.811916188581916,1.5973181718804754,1.1984094936433896,0.6716871458077162,3.2487436244703463,3.421412102700075,2.428146499437067,1.9977679476063268,1.972166411775537,3.503045612445245,3.9213721532708226,7.352948300839785,3.043739651736257,6.420796428241655,3.9580393910456335,6.980213886973719,1
1542211290,2.1492910818728834,1.9174632133341944,1.2805795150711468,8.468346270683885,12.8192778596048,1.838470684117345,1.0258487708139628,0.44164528223854316,1.7868426232634804,3.0644862451808215,2.6408682900128984,1.589105938447876,1.7877931765121784,3.054000357707334,1.3538314367175575,4.635011826875921,2.9865818372639046,6.069339298768568,6.150367817714969,4.974676693536253,1
1542211290,4.068229368868967,2.005561681396585,1.237418670130983,8.329824135064989,6.87141134926471,1.5546368252567,1.1146653603374996,0.5529102368674939,1.2589646793432463,1.7154336751955142,1.839851442097862,1.5341579438705686,1.9510842976392442,2.4881030726284408,2.6325722493015533,3.643574054006033,2.9778575216797605,5.970171325117908,14.863117261505383,9.708784018850476,1
1542211291,2.7897232085169446,1.597341814821375,1.2533483961022835,7.409503522402932,6.658330493599292,1.6102592096547017,0.9537960859515972,0.6050636815894026,1.3584852663927047,1.228404849652855,3.017697032740289,2.0491895727178377,1.7370445953161215,5.987499005787827,6.118371182739638,4.711285123371756,3.027058314166367,6.658928939537184,10.480309143649693,14.047083692413423,1
1542211291,2.1432742320567617,0.923217347834902,1.0462629816607392,4.9974816873801355,4.029002913742811,2.9917601283370225,1.1174300255060947,0.6293093136158878,6.815684589493504,5.061537259534228,3.2674431485698214,1.565799786550535,1.8956497676339445,3.175196462692666,0.7328487766185621,2.6559207026226934,4.072046645817864,6.519535932197648,3.394896513146744,8.119866169643082,1
1542211292,2.5011253703615233,1.3878132558491527,1.3274931896036397,4.935844690289796,7.250131600204184,1.3325728234353253,1.0413990224812992,0.5438780583724462,3.710596123314243,3.011488110055036,3.0941631547410893,1.9995772835285617,2.29089504616885,7.201265584576612,4.136891156765516,4.667652037683691,2.295391470797327,6.08504149857964,5.6709748491289425,8.336375684910939,1
1542211292,4.981147641491164,2.5101364676170395,1.3679728916620413,8.013165579904282,4.927438495359251,2.9916445543249126,1.722859888083197,0.6755589865371137,6.115213361211694,6.511261060591249,4.4120488792402215,1.2962619069251753,2.1436406370738954,6.510926790120534,5.797431743015251,9.330575166057178,3.6738727983021358,6.2147678768609635,4.141355805368293,7.745867294036568,1
1542211293,3.664977291959259,1.5685951067793529,1.1637920420013592,4.1827541035982865,6.688687616381286,1.900634266047448,1.0199691018332535,0.4571065923189068,2.362434784555568,2.856756705658448,2.8219929493525524,2.1610853190857804,2.527273669550007,10.488345286719616,9.369075305763468,2.887702135878976,4.4223090174448645,6.528472067476498,6.966273133755862,11.703197809710964,1
